date,crypto crash
"Aug 24, 2022",1
"Aug 25, 2022",1
"Aug 26, 2022",2
"Aug 27, 2022",2
"Aug 28, 2022",1
"Aug 29, 2022",3
"Aug 30, 2022",1
"Aug 31, 2022",1
"Sep 1, 2022",1
"Sep 2, 2022",1
"Sep 3, 2022",1
"Sep 4, 2022",1
"Sep 5, 2022",1
"Sep 6, 2022",2
"Sep 7, 2022",2
"Sep 8, 2022",1
"Sep 9, 2022",1
"Sep 10, 2022",1
"Sep 11, 2022",1
"Sep 12, 2022",3
"Sep 13, 2022",6
"Sep 14, 2022",5
"Sep 15, 2022",6
"Sep 16, 2022",4
"Sep 17, 2022",3
"Sep 18, 2022",6
"Sep 19, 2022",13
"Sep 20, 2022",6
"Sep 21, 2022",6
"Sep 22, 2022",5
"Sep 23, 2022",4
"Sep 24, 2022",4
"Sep 25, 2022",3
"Sep 26, 2022",5
"Sep 27, 2022",5
"Sep 28, 2022",4
"Sep 29, 2022",3
"Sep 30, 2022",2
"Oct 1, 2022",2
"Oct 2, 2022",4
"Oct 3, 2022",3
"Oct 4, 2022",2
"Oct 5, 2022",4
"Oct 6, 2022",3
"Oct 7, 2022",4
"Oct 8, 2022",4
"Oct 9, 2022",3
"Oct 10, 2022",4
"Oct 11, 2022",4
"Oct 12, 2022",4
"Oct 13, 2022",8
"Oct 14, 2022",3
"Oct 15, 2022",4
"Oct 16, 2022",3
"Oct 17, 2022",3
"Oct 18, 2022",4
"Oct 19, 2022",3
"Oct 20, 2022",2
"Oct 21, 2022",4
"Oct 22, 2022",2
"Oct 23, 2022",2
"Oct 24, 2022",2
"Oct 25, 2022",3
"Oct 26, 2022",3
"Oct 27, 2022",3
"Oct 28, 2022",3
"Oct 29, 2022",2
"Oct 30, 2022",2
"Oct 31, 2022",0
"Nov 1, 2022",3
"Nov 2, 2022",3
"Nov 3, 2022",3
"Nov 4, 2022",3
"Nov 5, 2022",2
"Nov 6, 2022",2
"Nov 7, 2022",3
"Nov 8, 2022",37
"Nov 9, 2022",100
"Nov 10, 2022",68
"Nov 11, 2022",50
"Nov 12, 2022",50
"Nov 13, 2022",49
"Nov 14, 2022",44
"Nov 15, 2022",37
"Nov 16, 2022",27
"Nov 17, 2022",30
"Nov 18, 2022",24
"Nov 19, 2022",18
"Nov 20, 2022",15
"Nov 21, 2022",20
"Nov 22, 2022",13
"Nov 23, 2022",10
"Nov 24, 2022",9
"Nov 25, 2022",7
"Nov 26, 2022",6
"Nov 27, 2022",6
"Nov 28, 2022",7
"Nov 29, 2022",10
"Nov 30, 2022",22
"Dec 1, 2022",11
"Dec 2, 2022",7
"Dec 3, 2022",5
"Dec 4, 2022",5
"Dec 5, 2022",6
"Dec 6, 2022",6
"Dec 7, 2022",7
"Dec 8, 2022",7
"Dec 9, 2022",4
"Dec 10, 2022",4
"Dec 11, 2022",4
"Dec 12, 2022",4
"Dec 13, 2022",7
"Dec 14, 2022",5
"Dec 15, 2022",6
"Dec 16, 2022",10
"Dec 17, 2022",9
"Dec 18, 2022",6
"Dec 19, 2022",5
"Dec 20, 2022",4
"Dec 21, 2022",6
"Dec 22, 2022",4
"Dec 23, 2022",5
"Dec 24, 2022",2
"Dec 25, 2022",4
"Dec 26, 2022",3
"Dec 27, 2022",5
"Dec 28, 2022",4
"Dec 29, 2022",4
"Dec 30, 2022",5
"Dec 31, 2022",3
"Jan 1, 2023",5
"Jan 2, 2023",3
"Jan 3, 2023",6
"Jan 4, 2023",3
"Jan 5, 2023",4
"Jan 6, 2023",3
"Jan 7, 2023",2
"Jan 8, 2023",4
"Jan 9, 2023",3
"Jan 10, 2023",3
"Jan 11, 2023",4
"Jan 12, 2023",4
"Jan 13, 2023",4
"Jan 14, 2023",2
"Jan 15, 2023",3
"Jan 16, 2023",3
"Jan 17, 2023",4
"Jan 18, 2023",6
"Jan 19, 2023",4
"Jan 20, 2023",4
"Jan 21, 2023",4
"Jan 22, 2023",3
"Jan 23, 2023",3
"Jan 24, 2023",5
"Jan 25, 2023",3
"Jan 26, 2023",3
"Jan 27, 2023",3
"Jan 28, 2023",3
"Jan 29, 2023",4
"Jan 30, 2023",3
"Jan 31, 2023",2
"Feb 1, 2023",3
"Feb 2, 2023",2
"Feb 3, 2023",3
"Feb 4, 2023",0
"Feb 5, 2023",3
"Feb 6, 2023",3
"Feb 7, 2023",3
"Feb 8, 2023",4
"Feb 9, 2023",5
"Feb 10, 2023",4
"Feb 11, 2023",2
"Feb 12, 2023",3
"Feb 13, 2023",2
"Feb 14, 2023",3
"Feb 15, 2023",2
