date,bullish
"Sep 27, 2021",30
"Sep 28, 2021",32
"Sep 29, 2021",35
"Sep 30, 2021",32
"Oct 1, 2021",33
"Oct 2, 2021",25
"Oct 3, 2021",22
"Oct 4, 2021",29
"Oct 5, 2021",39
"Oct 6, 2021",44
"Oct 7, 2021",36
"Oct 8, 2021",32
"Oct 9, 2021",27
"Oct 10, 2021",27
"Oct 11, 2021",34
"Oct 12, 2021",32
"Oct 13, 2021",32
"Oct 14, 2021",33
"Oct 15, 2021",33
"Oct 16, 2021",28
"Oct 17, 2021",26
"Oct 18, 2021",33
"Oct 19, 2021",39
"Oct 20, 2021",33
"Oct 21, 2021",35
"Oct 22, 2021",30
"Oct 23, 2021",28
"Oct 24, 2021",24
"Oct 25, 2021",32
"Oct 26, 2021",37
"Oct 27, 2021",35
"Oct 28, 2021",39
"Oct 29, 2021",40
"Oct 30, 2021",25
"Oct 31, 2021",27
"Nov 1, 2021",40
"Nov 2, 2021",43
"Nov 3, 2021",38
"Nov 4, 2021",37
"Nov 5, 2021",36
"Nov 6, 2021",27
"Nov 7, 2021",27
"Nov 8, 2021",38
"Nov 9, 2021",39
"Nov 10, 2021",43
"Nov 11, 2021",40
"Nov 12, 2021",36
"Nov 13, 2021",23
"Nov 14, 2021",29
"Nov 15, 2021",34
"Nov 16, 2021",41
"Nov 17, 2021",41
"Nov 18, 2021",38
"Nov 19, 2021",34
"Nov 20, 2021",23
"Nov 21, 2021",25
"Nov 22, 2021",31
"Nov 23, 2021",34
"Nov 24, 2021",33
"Nov 25, 2021",29
"Nov 26, 2021",28
"Nov 27, 2021",26
"Nov 28, 2021",24
"Nov 29, 2021",37
"Nov 30, 2021",44
"Dec 1, 2021",43
"Dec 2, 2021",36
"Dec 3, 2021",32
"Dec 4, 2021",29
"Dec 5, 2021",28
"Dec 6, 2021",32
"Dec 7, 2021",33
"Dec 8, 2021",32
"Dec 9, 2021",32
"Dec 10, 2021",34
"Dec 11, 2021",16
"Dec 12, 2021",25
"Dec 13, 2021",38
"Dec 14, 2021",30
"Dec 15, 2021",28
"Dec 16, 2021",31
"Dec 17, 2021",34
"Dec 18, 2021",22
"Dec 19, 2021",20
"Dec 20, 2021",30
"Dec 21, 2021",33
"Dec 22, 2021",33
"Dec 23, 2021",29
"Dec 24, 2021",27
"Dec 25, 2021",23
"Dec 26, 2021",23
"Dec 27, 2021",35
"Dec 28, 2021",36
"Dec 29, 2021",35
"Dec 30, 2021",33
"Dec 31, 2021",25
"Jan 1, 2022",26
"Jan 2, 2022",36
"Jan 3, 2022",37
"Jan 4, 2022",100
"Jan 5, 2022",37
"Jan 6, 2022",44
"Jan 7, 2022",46
"Jan 8, 2022",29
"Jan 9, 2022",34
"Jan 10, 2022",42
"Jan 11, 2022",47
"Jan 12, 2022",46
"Jan 13, 2022",99
"Jan 14, 2022",36
"Jan 15, 2022",36
"Jan 16, 2022",61
"Jan 17, 2022",40
"Jan 18, 2022",34
"Jan 19, 2022",46
"Jan 20, 2022",48
"Jan 21, 2022",46
"Jan 22, 2022",39
"Jan 23, 2022",32
"Jan 24, 2022",100
"Jan 25, 2022",42
"Jan 26, 2022",67
"Jan 27, 2022",45
"Jan 28, 2022",46
"Jan 29, 2022",35
"Jan 30, 2022",32
"Jan 31, 2022",43
"Feb 1, 2022",46
"Feb 2, 2022",48
"Feb 3, 2022",47
"Feb 4, 2022",49
"Feb 5, 2022",38
"Feb 6, 2022",37
"Feb 7, 2022",48
"Feb 8, 2022",43
"Feb 9, 2022",47
"Feb 10, 2022",40
"Feb 11, 2022",45
"Feb 12, 2022",39
"Feb 13, 2022",31
"Feb 14, 2022",37
"Feb 15, 2022",41
"Feb 16, 2022",43
"Feb 17, 2022",42
"Feb 18, 2022",42
"Feb 19, 2022",30
"Feb 20, 2022",32
"Feb 21, 2022",39
"Feb 22, 2022",40
"Feb 23, 2022",43
"Feb 24, 2022",38
"Feb 25, 2022",36
"Feb 26, 2022",29
"Feb 27, 2022",30
"Feb 28, 2022",34
"Mar 1, 2022",33
"Mar 2, 2022",39
"Mar 3, 2022",38
"Mar 4, 2022",35
"Mar 5, 2022",27
"Mar 6, 2022",28
"Mar 7, 2022",40
"Mar 8, 2022",40
"Mar 9, 2022",43
"Mar 10, 2022",43
"Mar 11, 2022",37
"Mar 12, 2022",29
"Mar 13, 2022",29
"Mar 14, 2022",36
"Mar 15, 2022",38
"Mar 16, 2022",44
"Mar 17, 2022",41
"Mar 18, 2022",39
"Mar 19, 2022",30
"Mar 20, 2022",28
"Mar 21, 2022",39
"Mar 22, 2022",36
"Mar 23, 2022",38
"Mar 24, 2022",44
"Mar 25, 2022",38
"Mar 26, 2022",31
"Mar 27, 2022",28
"Mar 28, 2022",41
"Mar 29, 2022",41
"Mar 30, 2022",42
"Mar 31, 2022",41
"Apr 1, 2022",37
"Apr 2, 2022",32
"Apr 3, 2022",30
"Apr 4, 2022",43
"Apr 5, 2022",40
"Apr 6, 2022",45
"Apr 7, 2022",40
"Apr 8, 2022",42
"Apr 9, 2022",28
"Apr 10, 2022",26
