date,bitcoin
"Aug 16, 2022",14
"Aug 17, 2022",15
"Aug 18, 2022",13
"Aug 19, 2022",18
"Aug 20, 2022",14
"Aug 21, 2022",13
"Aug 22, 2022",16
"Aug 23, 2022",14
"Aug 24, 2022",13
"Aug 25, 2022",14
"Aug 26, 2022",14
"Aug 27, 2022",14
"Aug 28, 2022",13
"Aug 29, 2022",16
"Aug 30, 2022",16
"Aug 31, 2022",14
"Sep 1, 2022",14
"Sep 2, 2022",14
"Sep 3, 2022",12
"Sep 4, 2022",12
"Sep 5, 2022",14
"Sep 6, 2022",15
"Sep 7, 2022",16
"Sep 8, 2022",14
"Sep 9, 2022",15
"Sep 10, 2022",14
"Sep 11, 2022",13
"Sep 12, 2022",44
"Sep 13, 2022",49
"Sep 14, 2022",48
"Sep 15, 2022",45
"Sep 16, 2022",47
"Sep 17, 2022",39
"Sep 18, 2022",41
"Sep 19, 2022",54
"Sep 20, 2022",49
"Sep 21, 2022",50
"Sep 22, 2022",47
"Sep 23, 2022",47
"Sep 24, 2022",41
"Sep 25, 2022",38
"Sep 26, 2022",43
"Sep 27, 2022",46
"Sep 28, 2022",44
"Sep 29, 2022",43
"Sep 30, 2022",41
"Oct 1, 2022",35
"Oct 2, 2022",34
"Oct 3, 2022",42
"Oct 4, 2022",40
"Oct 5, 2022",39
"Oct 6, 2022",38
"Oct 7, 2022",38
"Oct 8, 2022",32
"Oct 9, 2022",32
"Oct 10, 2022",37
"Oct 11, 2022",38
"Oct 12, 2022",36
"Oct 13, 2022",40
"Oct 14, 2022",39
"Oct 15, 2022",33
"Oct 16, 2022",31
"Oct 17, 2022",36
"Oct 18, 2022",36
"Oct 19, 2022",37
"Oct 20, 2022",35
"Oct 21, 2022",35
"Oct 22, 2022",30
"Oct 23, 2022",29
"Oct 24, 2022",35
"Oct 25, 2022",37
"Oct 26, 2022",40
"Oct 27, 2022",38
"Oct 28, 2022",36
"Oct 29, 2022",36
"Oct 30, 2022",32
"Oct 31, 2022",37
"Nov 1, 2022",34
"Nov 2, 2022",35
"Nov 3, 2022",36
"Nov 4, 2022",37
"Nov 5, 2022",34
"Nov 6, 2022",31
"Nov 7, 2022",36
"Nov 8, 2022",54
"Nov 9, 2022",94
"Nov 10, 2022",100
"Nov 11, 2022",85
"Nov 12, 2022",75
"Nov 13, 2022",70
"Nov 14, 2022",80
"Nov 15, 2022",67
"Nov 16, 2022",63
"Nov 17, 2022",60
"Nov 18, 2022",56
"Nov 19, 2022",47
"Nov 20, 2022",45
"Nov 21, 2022",58
"Nov 22, 2022",56
"Nov 23, 2022",49
"Nov 24, 2022",41
"Nov 25, 2022",42
"Nov 26, 2022",39
"Nov 27, 2022",39
"Nov 28, 2022",45
"Nov 29, 2022",45
"Nov 30, 2022",45
"Dec 1, 2022",42
"Dec 2, 2022",39
"Dec 3, 2022",36
"Dec 4, 2022",35
"Dec 5, 2022",40
"Dec 6, 2022",39
"Dec 7, 2022",39
"Dec 8, 2022",40
"Dec 9, 2022",36
"Dec 10, 2022",31
"Dec 11, 2022",35
"Dec 12, 2022",39
"Dec 13, 2022",44
"Dec 14, 2022",42
"Dec 15, 2022",41
"Dec 16, 2022",42
"Dec 17, 2022",37
"Dec 18, 2022",33
"Dec 19, 2022",38
"Dec 20, 2022",39
"Dec 21, 2022",39
"Dec 22, 2022",39
"Dec 23, 2022",37
"Dec 24, 2022",34
"Dec 25, 2022",34
"Dec 26, 2022",35
"Dec 27, 2022",38
"Dec 28, 2022",38
"Dec 29, 2022",36
"Dec 30, 2022",38
"Dec 31, 2022",32
"Jan 1, 2023",35
"Jan 2, 2023",37
"Jan 3, 2023",37
"Jan 4, 2023",38
"Jan 5, 2023",37
"Jan 6, 2023",36
"Jan 7, 2023",32
"Jan 8, 2023",31
"Jan 9, 2023",37
"Jan 10, 2023",39
"Jan 11, 2023",38
"Jan 12, 2023",45
"Jan 13, 2023",47
"Jan 14, 2023",60
"Jan 15, 2023",46
"Jan 16, 2023",53
"Jan 17, 2023",50
"Jan 18, 2023",46
"Jan 19, 2023",44
"Jan 20, 2023",46
"Jan 21, 2023",52
"Jan 22, 2023",47
"Jan 23, 2023",48
"Jan 24, 2023",46
"Jan 25, 2023",45
"Jan 26, 2023",47
"Jan 27, 2023",42
"Jan 28, 2023",38
"Jan 29, 2023",41
"Jan 30, 2023",43
"Jan 31, 2023",42
"Feb 1, 2023",43
"Feb 2, 2023",48
"Feb 3, 2023",41
"Feb 4, 2023",38
"Feb 5, 2023",38
"Feb 6, 2023",39
"Feb 7, 2023",38
"Feb 8, 2023",38
"Feb 9, 2023",40
"Feb 10, 2023",38
"Feb 11, 2023",34
"Feb 12, 2023",33
"Feb 13, 2023",37
"Feb 14, 2023",36
"Feb 15, 2023",42
"Feb 16, 2023",52
"Feb 17, 2023",46
"Feb 18, 2023",39
"Feb 19, 2023",39
"Feb 20, 2023",40
"Feb 21, 2023",41
"Feb 22, 2023",39
"Feb 23, 2023",37
"Feb 24, 2023",39
"Feb 25, 2023",35
"Feb 26, 2023",34
"Feb 27, 2023",35
"Feb 28, 2023",37
"Mar 1, 2023",34
"Mar 2, 2023",37
"Mar 3, 2023",40
"Mar 4, 2023",35
"Mar 5, 2023",33
"Mar 6, 2023",34
"Mar 7, 2023",34
"Mar 8, 2023",36
"Mar 9, 2023",41
"Mar 10, 2023",50
"Mar 11, 2023",42
"Mar 12, 2023",41
"Mar 13, 2023",60
"Mar 14, 2023",65
"Mar 15, 2023",54
"Mar 16, 2023",48
"Mar 17, 2023",55
"Mar 18, 2023",55
"Mar 19, 2023",55
"Mar 20, 2023",67
"Mar 21, 2023",57
"Mar 22, 2023",59
"Mar 23, 2023",56
"Mar 24, 2023",55
"Mar 25, 2023",44
"Mar 26, 2023",43
"Mar 27, 2023",49
"Mar 28, 2023",47
"Mar 29, 2023",47
"Mar 30, 2023",47
"Mar 31, 2023",46
"Apr 1, 2023",42
"Apr 2, 2023",41
"Apr 3, 2023",44
"Apr 4, 2023",45
"Apr 5, 2023",43
"Apr 6, 2023",44
"Apr 7, 2023",41
"Apr 8, 2023",37
"Apr 9, 2023",37
"Apr 10, 2023",44
"Apr 11, 2023",61
"Apr 12, 2023",53
"Apr 13, 2023",46
"Apr 14, 2023",52
"Apr 15, 2023",44
"Apr 16, 2023",41
"Apr 17, 2023",44
"Apr 18, 2023",45
"Apr 19, 2023",45
"Apr 20, 2023",46
"Apr 21, 2023",45
"Apr 22, 2023",39
"Apr 23, 2023",39
"Apr 24, 2023",45
"Apr 25, 2023",41
"Apr 26, 2023",50
"Apr 27, 2023",42
"Apr 28, 2023",41
"Apr 29, 2023",37
"Apr 30, 2023",36
"May 1, 2023",42
"May 2, 2023",40
"May 3, 2023",41
"May 4, 2023",39
"May 5, 2023",39
"May 6, 2023",36
"May 7, 2023",36
"May 8, 2023",44
"May 9, 2023",41
"May 10, 2023",43
"May 11, 2023",50
"May 12, 2023",49
"May 13, 2023",41
"May 14, 2023",38
"May 15, 2023",43
"May 16, 2023",41
"May 17, 2023",43
"May 18, 2023",44
"May 19, 2023",43
"May 20, 2023",39
"May 21, 2023",39
"May 22, 2023",44
"May 23, 2023",45
"May 24, 2023",43
"May 25, 2023",43
"May 26, 2023",43
"May 27, 2023",36
"May 28, 2023",41
"May 29, 2023",44
"May 30, 2023",43
"May 31, 2023",43
"Jun 1, 2023",45
