date,bearish
"Nov 3, 2021",31
"Nov 4, 2021",40
"Nov 5, 2021",37
"Nov 6, 2021",23
"Nov 7, 2021",20
"Nov 8, 2021",34
"Nov 9, 2021",40
"Nov 10, 2021",37
"Nov 11, 2021",42
"Nov 12, 2021",33
"Nov 13, 2021",24
"Nov 14, 2021",30
"Nov 15, 2021",39
"Nov 16, 2021",55
"Nov 17, 2021",37
"Nov 18, 2021",44
"Nov 19, 2021",31
"Nov 20, 2021",26
"Nov 21, 2021",18
"Nov 22, 2021",43
"Nov 23, 2021",42
"Nov 24, 2021",37
"Nov 25, 2021",36
"Nov 26, 2021",36
"Nov 27, 2021",25
"Nov 28, 2021",29
"Nov 29, 2021",37
"Nov 30, 2021",43
"Dec 1, 2021",38
"Dec 2, 2021",42
"Dec 3, 2021",34
"Dec 4, 2021",39
"Dec 5, 2021",32
"Dec 6, 2021",40
"Dec 7, 2021",36
"Dec 8, 2021",40
"Dec 9, 2021",40
"Dec 10, 2021",32
"Dec 11, 2021",25
"Dec 12, 2021",26
"Dec 13, 2021",39
"Dec 14, 2021",40
"Dec 15, 2021",33
"Dec 16, 2021",31
"Dec 17, 2021",32
"Dec 18, 2021",23
"Dec 19, 2021",21
"Dec 20, 2021",41
"Dec 21, 2021",33
"Dec 22, 2021",31
"Dec 23, 2021",31
"Dec 24, 2021",31
"Dec 25, 2021",27
"Dec 26, 2021",27
"Dec 27, 2021",29
"Dec 28, 2021",39
"Dec 29, 2021",40
"Dec 30, 2021",41
"Dec 31, 2021",33
"Jan 1, 2022",20
"Jan 2, 2022",32
"Jan 3, 2022",40
"Jan 4, 2022",96
"Jan 5, 2022",41
"Jan 6, 2022",56
"Jan 7, 2022",59
"Jan 8, 2022",30
"Jan 9, 2022",37
"Jan 10, 2022",43
"Jan 11, 2022",50
"Jan 12, 2022",48
"Jan 13, 2022",100
"Jan 14, 2022",24
"Jan 15, 2022",25
"Jan 16, 2022",36
"Jan 17, 2022",29
"Jan 18, 2022",33
"Jan 19, 2022",38
"Jan 20, 2022",38
"Jan 21, 2022",40
"Jan 22, 2022",46
"Jan 23, 2022",25
"Jan 24, 2022",100
"Jan 25, 2022",38
"Jan 26, 2022",40
"Jan 27, 2022",39
"Jan 28, 2022",40
"Jan 29, 2022",32
"Jan 30, 2022",27
"Jan 31, 2022",39
"Feb 1, 2022",38
"Feb 2, 2022",33
"Feb 3, 2022",38
"Feb 4, 2022",35
"Feb 5, 2022",22
"Feb 6, 2022",29
"Feb 7, 2022",37
"Feb 8, 2022",35
"Feb 9, 2022",30
"Feb 10, 2022",35
"Feb 11, 2022",38
"Feb 12, 2022",25
"Feb 13, 2022",23
"Feb 14, 2022",35
"Feb 15, 2022",34
"Feb 16, 2022",35
"Feb 17, 2022",35
"Feb 18, 2022",33
"Feb 19, 2022",22
"Feb 20, 2022",24
"Feb 21, 2022",34
"Feb 22, 2022",38
"Feb 23, 2022",37
"Feb 24, 2022",36
"Feb 25, 2022",27
"Feb 26, 2022",21
"Feb 27, 2022",23
"Feb 28, 2022",31
"Mar 1, 2022",27
"Mar 2, 2022",38
"Mar 3, 2022",30
"Mar 4, 2022",29
"Mar 5, 2022",20
"Mar 6, 2022",25
"Mar 7, 2022",35
"Mar 8, 2022",34
"Mar 9, 2022",38
"Mar 10, 2022",36
"Mar 11, 2022",33
"Mar 12, 2022",22
"Mar 13, 2022",21
"Mar 14, 2022",26
"Mar 15, 2022",31
"Mar 16, 2022",31
"Mar 17, 2022",35
"Mar 18, 2022",27
"Mar 19, 2022",21
"Mar 20, 2022",19
"Mar 21, 2022",33
"Mar 22, 2022",37
"Mar 23, 2022",31
"Mar 24, 2022",31
"Mar 25, 2022",31
"Mar 26, 2022",20
"Mar 27, 2022",19
"Mar 28, 2022",33
"Mar 29, 2022",31
"Mar 30, 2022",30
"Mar 31, 2022",30
"Apr 1, 2022",28
"Apr 2, 2022",20
"Apr 3, 2022",20
"Apr 4, 2022",30
"Apr 5, 2022",27
"Apr 6, 2022",32
"Apr 7, 2022",36
"Apr 8, 2022",34
"Apr 9, 2022",21
"Apr 10, 2022",22
"Apr 11, 2022",34
"Apr 12, 2022",34
"Apr 13, 2022",35
"Apr 14, 2022",26
"Apr 15, 2022",24
"Apr 16, 2022",18
"Apr 17, 2022",20
"Apr 18, 2022",31
"Apr 19, 2022",27
"Apr 20, 2022",31
"Apr 21, 2022",28
"Apr 22, 2022",31
"Apr 23, 2022",24
"Apr 24, 2022",22
"Apr 25, 2022",35
"Apr 26, 2022",31
"Apr 27, 2022",33
"Apr 28, 2022",32
"Apr 29, 2022",32
"Apr 30, 2022",27
"May 1, 2022",26
"May 2, 2022",33
"May 3, 2022",29
"May 4, 2022",27
"May 5, 2022",29
"May 6, 2022",30
"May 7, 2022",19
"May 8, 2022",21
"May 9, 2022",37
"May 10, 2022",41
"May 11, 2022",45
"May 12, 2022",45
"May 13, 2022",39
"May 14, 2022",28
"May 15, 2022",28
"May 16, 2022",33
"May 17, 2022",38
"May 18, 2022",34
"May 19, 2022",36
"May 20, 2022",32
"May 21, 2022",22
"May 22, 2022",23
"May 23, 2022",37
"May 24, 2022",34
"May 25, 2022",35
"May 26, 2022",35
"May 27, 2022",29
"May 28, 2022",18
"May 29, 2022",20
"May 30, 2022",25
"May 31, 2022",32
"Jun 1, 2022",28
"Jun 2, 2022",32
"Jun 3, 2022",27
"Jun 4, 2022",23
"Jun 5, 2022",23
"Jun 6, 2022",33
"Jun 7, 2022",32
"Jun 8, 2022",30
"Jun 9, 2022",28
"Jun 10, 2022",30
"Jun 11, 2022",21
"Jun 12, 2022",19
"Jun 13, 2022",34
"Jun 14, 2022",38
"Jun 15, 2022",38
"Jun 16, 2022",38
"Jun 17, 2022",36
"Jun 18, 2022",22
"Jun 19, 2022",27
"Jun 20, 2022",30
"Jun 21, 2022",36
"Jun 22, 2022",32
"Jun 23, 2022",37
"Jun 24, 2022",35
"Jun 25, 2022",22
"Jun 26, 2022",20
"Jun 27, 2022",29
"Jun 28, 2022",29
"Jun 29, 2022",35
"Jun 30, 2022",27
"Jul 1, 2022",28
"Jul 2, 2022",15
"Jul 3, 2022",19
"Jul 4, 2022",26
"Jul 5, 2022",32
"Jul 6, 2022",30
"Jul 7, 2022",31
"Jul 8, 2022",30
"Jul 9, 2022",18
"Jul 10, 2022",15
"Jul 11, 2022",31
"Jul 12, 2022",33
"Jul 13, 2022",33
"Jul 14, 2022",31
"Jul 15, 2022",32
"Jul 16, 2022",20
"Jul 17, 2022",20
"Jul 18, 2022",34
"Jul 19, 2022",33
"Jul 20, 2022",39
"Jul 21, 2022",27
"Jul 22, 2022",31
"Jul 23, 2022",22
"Jul 24, 2022",22
"Jul 25, 2022",35
"Jul 26, 2022",28
"Jul 27, 2022",28
"Jul 28, 2022",30
"Jul 29, 2022",32
"Jul 30, 2022",22
"Jul 31, 2022",15
"Aug 1, 2022",31
"Aug 2, 2022",28
"Aug 3, 2022",30
"Aug 4, 2022",28
"Aug 5, 2022",33
"Aug 6, 2022",21
"Aug 7, 2022",19
"Aug 8, 2022",30
"Aug 9, 2022",23
"Aug 10, 2022",33
"Aug 11, 2022",31
"Aug 12, 2022",38
"Aug 13, 2022",18
"Aug 14, 2022",21
"Aug 15, 2022",32
"Aug 16, 2022",32
"Aug 17, 2022",33
"Aug 18, 2022",28
"Aug 19, 2022",34
"Aug 20, 2022",24
"Aug 21, 2022",22
"Aug 22, 2022",39
"Aug 23, 2022",38
"Aug 24, 2022",32
"Aug 25, 2022",32
"Aug 26, 2022",33
"Aug 27, 2022",22
"Aug 28, 2022",22
"Aug 29, 2022",35
"Aug 30, 2022",31
"Aug 31, 2022",28
"Sep 1, 2022",33
"Sep 2, 2022",26
"Sep 3, 2022",21
"Sep 4, 2022",19
"Sep 5, 2022",24
"Sep 6, 2022",25
"Sep 7, 2022",28
"Sep 8, 2022",30
"Sep 9, 2022",33
"Sep 10, 2022",21
"Sep 11, 2022",19
"Sep 12, 2022",76
"Sep 13, 2022",84
"Sep 14, 2022",88
"Sep 15, 2022",90
"Sep 16, 2022",89
"Sep 17, 2022",64
"Sep 18, 2022",66
"Sep 19, 2022",82
"Sep 20, 2022",78
"Sep 21, 2022",86
"Sep 22, 2022",79
"Sep 23, 2022",100
"Sep 24, 2022",49
"Sep 25, 2022",56
"Sep 26, 2022",86
"Sep 27, 2022",86
"Sep 28, 2022",87
"Sep 29, 2022",83
"Sep 30, 2022",74
"Oct 1, 2022",45
"Oct 2, 2022",51
"Oct 3, 2022",73
